[DBG] add                  | target=<built-in function add> | args=(layer1_0_bn3, layer1_0_downsample_1)
[DBG] add_1                | target=<built-in function add> | args=(layer1_1_bn3, layer1_0_relu_2)
[DBG] add_2                | target=<built-in function add> | args=(layer1_2_bn3, layer1_1_relu_2)
[DBG] add_3                | target=<built-in function add> | args=(layer2_0_bn3, layer2_0_downsample_1)
[DBG] add_4                | target=<built-in function add> | args=(layer2_1_bn3, layer2_0_relu_2)
[DBG] add_5                | target=<built-in function add> | args=(layer2_2_bn3, layer2_1_relu_2)
[DBG] add_6                | target=<built-in function add> | args=(layer2_3_bn3, layer2_2_relu_2)
[DBG] add_7                | target=<built-in function add> | args=(layer2_4_bn3, layer2_3_relu_2)
[DBG] add_8                | target=<built-in function add> | args=(layer2_5_bn3, layer2_4_relu_2)
[DBG] add_9                | target=<built-in function add> | args=(layer2_6_bn3, layer2_5_relu_2)
[DBG] add_10               | target=<built-in function add> | args=(layer2_7_bn3, layer2_6_relu_2)
[DBG] add_11               | target=<built-in function add> | args=(layer3_0_bn3, layer3_0_downsample_1)
[DBG] add_12               | target=<built-in function add> | args=(layer3_1_bn3, layer3_0_relu_2)
[DBG] add_13               | target=<built-in function add> | args=(layer3_2_bn3, layer3_1_relu_2)
[DBG] add_14               | target=<built-in function add> | args=(layer3_3_bn3, layer3_2_relu_2)
[DBG] add_15               | target=<built-in function add> | args=(layer3_4_bn3, layer3_3_relu_2)
[DBG] add_16               | target=<built-in function add> | args=(layer3_5_bn3, layer3_4_relu_2)
[DBG] add_17               | target=<built-in function add> | args=(layer3_6_bn3, layer3_5_relu_2)
[DBG] add_18               | target=<built-in function add> | args=(layer3_7_bn3, layer3_6_relu_2)
[DBG] add_19               | target=<built-in function add> | args=(layer3_8_bn3, layer3_7_relu_2)
[DBG] add_20               | target=<built-in function add> | args=(layer3_9_bn3, layer3_8_relu_2)
[DBG] add_21               | target=<built-in function add> | args=(layer3_10_bn3, layer3_9_relu_2)
[DBG] add_22               | target=<built-in function add> | args=(layer3_11_bn3, layer3_10_relu_2)
[DBG] add_23               | target=<built-in function add> | args=(layer3_12_bn3, layer3_11_relu_2)
[DBG] add_24               | target=<built-in function add> | args=(layer3_13_bn3, layer3_12_relu_2)
[DBG] add_25               | target=<built-in function add> | args=(layer3_14_bn3, layer3_13_relu_2)
[DBG] add_26               | target=<built-in function add> | args=(layer3_15_bn3, layer3_14_relu_2)
[DBG] add_27               | target=<built-in function add> | args=(layer3_16_bn3, layer3_15_relu_2)
[DBG] add_28               | target=<built-in function add> | args=(layer3_17_bn3, layer3_16_relu_2)
[DBG] add_29               | target=<built-in function add> | args=(layer3_18_bn3, layer3_17_relu_2)
[DBG] add_30               | target=<built-in function add> | args=(layer3_19_bn3, layer3_18_relu_2)
[DBG] add_31               | target=<built-in function add> | args=(layer3_20_bn3, layer3_19_relu_2)
[DBG] add_32               | target=<built-in function add> | args=(layer3_21_bn3, layer3_20_relu_2)
[DBG] add_33               | target=<built-in function add> | args=(layer3_22_bn3, layer3_21_relu_2)
[DBG] add_34               | target=<built-in function add> | args=(layer3_23_bn3, layer3_22_relu_2)
[DBG] add_35               | target=<built-in function add> | args=(layer3_24_bn3, layer3_23_relu_2)
[DBG] add_36               | target=<built-in function add> | args=(layer3_25_bn3, layer3_24_relu_2)
[DBG] add_37               | target=<built-in function add> | args=(layer3_26_bn3, layer3_25_relu_2)
[DBG] add_38               | target=<built-in function add> | args=(layer3_27_bn3, layer3_26_relu_2)
[DBG] add_39               | target=<built-in function add> | args=(layer3_28_bn3, layer3_27_relu_2)
[DBG] add_40               | target=<built-in function add> | args=(layer3_29_bn3, layer3_28_relu_2)
[DBG] add_41               | target=<built-in function add> | args=(layer3_30_bn3, layer3_29_relu_2)
[DBG] add_42               | target=<built-in function add> | args=(layer3_31_bn3, layer3_30_relu_2)
[DBG] add_43               | target=<built-in function add> | args=(layer3_32_bn3, layer3_31_relu_2)
[DBG] add_44               | target=<built-in function add> | args=(layer3_33_bn3, layer3_32_relu_2)
[DBG] add_45               | target=<built-in function add> | args=(layer3_34_bn3, layer3_33_relu_2)
[DBG] add_46               | target=<built-in function add> | args=(layer3_35_bn3, layer3_34_relu_2)
[DBG] add_47               | target=<built-in function add> | args=(layer4_0_bn3, layer4_0_downsample_1)
[DBG] add_48               | target=<built-in function add> | args=(layer4_1_bn3, layer4_0_relu_2)
[DBG] add_49               | target=<built-in function add> | args=(layer4_2_bn3, layer4_1_relu_2)
[DBG] flatten              | target=<built-in method flatten of type object at 0xffff7dabcf10> | args=(avgpool, 1)
