# Module Profiling Results (NPU:7)
# Total modules: 313
====================================================================================================

Hook:2 | Conv2d_1a_3x3.bn | Type:BatchNorm2d | FWD:1414.31±19.12us | BWD:12497.22±106.56us | In:(128, 32, 149, 149) | Out:(128, 32, 149, 149) | Params:64

Hook:1 | Conv2d_1a_3x3.conv | Type:Conv2d | FWD:1810.27±108.37us | BWD:16721.42±97.73us | In:(128, 3, 299, 299) | Out:(128, 32, 149, 149) | Params:864

Hook:5 | Conv2d_2a_3x3.bn | Type:BatchNorm2d | FWD:1441.24±8.76us | BWD:12229.26±11.71us | In:(128, 32, 147, 147) | Out:(128, 32, 147, 147) | Params:64

Hook:4 | Conv2d_2a_3x3.conv | Type:Conv2d | FWD:2198.13±5.53us | BWD:15092.38±8.99us | In:(128, 32, 149, 149) | Out:(128, 32, 147, 147) | Params:9216

Hook:8 | Conv2d_2b_3x3.bn | Type:BatchNorm2d | FWD:2306.12±253.68us | BWD:23789.83±191.82us | In:(128, 64, 147, 147) | Out:(128, 64, 147, 147) | Params:128

Hook:7 | Conv2d_2b_3x3.conv | Type:Conv2d | FWD:3204.03±196.52us | BWD:26514.84±209.73us | In:(128, 32, 147, 147) | Out:(128, 64, 147, 147) | Params:18432

Hook:12 | Conv2d_3b_1x1.bn | Type:BatchNorm2d | FWD:990.80±11.60us | BWD:7812.69±25.98us | In:(128, 80, 73, 73) | Out:(128, 80, 73, 73) | Params:160

Hook:11 | Conv2d_3b_1x1.conv | Type:Conv2d | FWD:1109.25±19.74us | BWD:8384.42±9.22us | In:(128, 64, 73, 73) | Out:(128, 80, 73, 73) | Params:5120

Hook:15 | Conv2d_4a_3x3.bn | Type:BatchNorm2d | FWD:2019.17±19.95us | BWD:17601.00±34.29us | In:(128, 192, 71, 71) | Out:(128, 192, 71, 71) | Params:384

Hook:14 | Conv2d_4a_3x3.conv | Type:Conv2d | FWD:2973.88±7.74us | BWD:20973.75±13.70us | In:(128, 80, 73, 73) | Out:(128, 192, 71, 71) | Params:138240

Hook:19 | Mixed_5b.branch1x1.bn | Type:BatchNorm2d | FWD:423.44±14.07us | BWD:1752.73±11.79us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:18 | Mixed_5b.branch1x1.conv | Type:Conv2d | FWD:485.86±3.32us | BWD:2167.10±26.32us | In:(128, 192, 35, 35) | Out:(128, 64, 35, 35) | Params:12288

Hook:28 | Mixed_5b.branch3x3dbl_1.bn | Type:BatchNorm2d | FWD:464.22±8.10us | BWD:1806.65±4.10us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:27 | Mixed_5b.branch3x3dbl_1.conv | Type:Conv2d | FWD:503.58±7.66us | BWD:2164.46±7.44us | In:(128, 192, 35, 35) | Out:(128, 64, 35, 35) | Params:12288

Hook:31 | Mixed_5b.branch3x3dbl_2.bn | Type:BatchNorm2d | FWD:548.86±16.29us | BWD:2581.80±6.99us | In:(128, 96, 35, 35) | Out:(128, 96, 35, 35) | Params:192

