[FWD-PRE] #000 | Conv2d_1a_3x3.conv                       | inp[0]=shape=(4, 3, 224, 224) ptr=20617035155456 size=2408448B
[FWD-PRE] #000 | Conv2d_1a_3x3.conv                       | weight=shape=(32, 3, 3, 3) ptr=20616935636992 size=3456B
[FWD-POST] #001 | Conv2d_1a_3x3.conv                       | out[0]=shape=(4, 32, 111, 111) ptr=20617038397440 size=6308352B
[FWD-PRE] #002 | Conv2d_1a_3x3.bn                         | inp[0]=shape=(4, 32, 111, 111) ptr=20617038397440 size=6308352B
[FWD-PRE] #002 | Conv2d_1a_3x3.bn                         | weight=shape=(32,) ptr=20616935640576 size=128B
[FWD-PRE] #002 | Conv2d_1a_3x3.bn                         | bias=shape=(32,) ptr=20616935641088 size=128B
[FWD-PRE] #002 | Conv2d_1a_3x3.bn                         | running_mean=shape=(32,) ptr=20616935641600 size=128B
[FWD-PRE] #002 | Conv2d_1a_3x3.bn                         | running_var=shape=(32,) ptr=20616935642112 size=128B
[FWD-POST] #003 | Conv2d_1a_3x3.bn                         | out[0]=shape=(4, 32, 111, 111) ptr=20617044706304 size=6308352B
[FWD-PRE] #004 | relu_relu                                | inp[0]=shape=(4, 32, 111, 111) ptr=20617044706304 size=6308352B
[FWD-POST] #005 | relu_relu                                | out[0]=shape=(4, 32, 111, 111) ptr=20617051015168 size=6308352B
[FWD-PRE] #006 | Conv2d_2a_3x3.conv                       | inp[0]=shape=(4, 32, 111, 111) ptr=20617051015168 size=6308352B
[FWD-PRE] #006 | Conv2d_2a_3x3.conv                       | weight=shape=(32, 32, 3, 3) ptr=20616935643136 size=36864B
[FWD-POST] #007 | Conv2d_2a_3x3.conv                       | out[0]=shape=(4, 32, 109, 109) ptr=20617044706304 size=6083072B
[FWD-PRE] #008 | Conv2d_2a_3x3.bn                         | inp[0]=shape=(4, 32, 109, 109) ptr=20617044706304 size=6083072B
[FWD-PRE] #008 | Conv2d_2a_3x3.bn                         | weight=shape=(32,) ptr=20616935680512 size=128B
[FWD-PRE] #008 | Conv2d_2a_3x3.bn                         | bias=shape=(32,) ptr=20616935681024 size=128B
[FWD-PRE] #008 | Conv2d_2a_3x3.bn                         | running_mean=shape=(32,) ptr=20616935681536 size=128B
[FWD-PRE] #008 | Conv2d_2a_3x3.bn                         | running_var=shape=(32,) ptr=20616935682048 size=128B
[FWD-POST] #009 | Conv2d_2a_3x3.bn                         | out[0]=shape=(4, 32, 109, 109) ptr=20617059368960 size=6083072B
[FWD-PRE] #010 | relu_relu_1                              | inp[0]=shape=(4, 32, 109, 109) ptr=20617059368960 size=6083072B
